Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
Easy to use and set up  Perfect for on-the-go use  maganda ang quality   super like it,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
👜Portability:10/10  🎧Sound Quality:Loud and Clear  🔋Battery Life:Matagal malowbat,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
🔋Battery Life:Rechargeable built-in battery    🎧Sound Quality:Great sound quality    👜Portability:Wireless Bluetooth connection ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Stylish design  Excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
kala ko Malaki maliit pala piro okie Ang tonug hahhahahaha,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
Quality:Perfect for on-the-go use  Versatile speakers with multiple variations  Great sound quality  Rechargeable built-in battery    Material:Excellent value for money    Functionality:Convenient mobile phone holder ,5,,,HIGH,HIGH,OS,4,High RIQ,2,0,
Functionality:Great sound quality  Excellent value for money  Easy to use and set up  Convenient mobile phone holder  Wireless Bluetooth connection  Perfect for on-the-go use  Versatile speaker with multiple variations  Compact and portable speaker ,5,,,HIGH,HIGH,OS,4,High RIQ,2,2,
🎧Sound Quality:Rechargeable built-in battery  Perfect for on-the-go use  Compact and portable speaker  Wireless Bluetooth connection   got if for free ang cute nya maliit very handy okay naman sounds malakas sya actually thank you,5,,,HIGH,HIGH,OS,4,High RIQ,2,2,
Compact and portable speaker ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
nice Ang ganda galing nmn o balance walang binayaran😍😍 thanks po,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
good condition po nakapakaganda  po . slamat seller at kuya rider.,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
🎧Sound Quality:Excellent value for money  Easy to use and set up ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
pinang regalo ko to pero meron Kasi ako nito kaya natuwa aq pang regalo Kasi maayos Naman Ang tubig at nakaka tuwa. safe at walang sira naman.,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
Stylish design  Convenient mobile phone holder  Rechargeable built-in battery  Loud.,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
🎧Sound Quality: very good quality,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
leget maganda at malakas kait maliit,5,,,MODERATE,MODERATE,OS,2,Moderate RIQ,0,0,
Great sound quality  Great sound quality  Great sound quality  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
maliit lng pero malakas  ..yung fm di makuha walang signal,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
Great sound quality  Rechargeable built-in battery  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Wireless Bluetooth connection  Convenient mobile phone holder  Great sound quality  Versatile speaker with multiple variations ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Perfect for on-the-go use  Easy to use and set up  Versatile speaker with multiple variations ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Versatile speaker with multiple variations  Perfect for on-the-go use  Versatile speaker with multiple variations  Perfect for on-the-go use  Versatile speaker with multiple variations  Perfect for on-the-go use ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,2,
Goods po sya uulit ako sa shop na to kasi maganda ang pacakging nila 💛💛💛💛  🤣🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈🌈,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
🎧Sound Quality:goodWireless BluetoothPerfect for on-the-go use   connection  Great sound quality  Rechargeable built-in battery  Versatile speaker with multiple variations ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Great sound quality  Compact and portable speaker  Rechargeable built-in battery  Rechargeable built-in battery ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,2,0,
Quality:OK na OK smooth sound hindi masakit sa tenga   Material:OK good   Functionality:all good,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,0,0,
ok naman sya  kaya lang pag full volume basag boses  pero ok lang  ,5,,,MODERATE,MODERATE,TS,3,Moderate RIQ,0,0,
goods na goods hindi basag ang tunog ayos din ang pag balot at ang bait ni kuyang rider🥰,5,,,HIGH,HIGH,OS,4,High RIQ,0,0,
👜Portability:10  🎧Sound Quality:10  🔋Battery Life:excellent value for money ,5,,,MODERATE,HIGH,OS,3,Moderate RIQ,1,0,
