Review,Star Rating,Valence,Internal Consistency,Review Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,Credibility
??Price:Worth it! nabili ko lang sya ng mura kya ang saya ko??  ??Scent:sobrang bango love it  ?Longevity:precious scent  long last  Thanks much Seller & Courier ????????????,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:good  ??Price:194  ?Longevity:   ......................................................................,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:Good  ??Scent:Good  ?Longevity:Good Thank you seller and lazada Thank you seller and lazada Thank you seller and lazada Thank you seller and lazada Thank you seller and lazada Thank you seller and lazada Thank you seller and lazada,5,,,MODERATE,MODERATE,OS,,,0,0,
Recieved ko na thanks ??????????????????????????????????????????????????????????????????????????,5,,,LOW,LOW,OS,,,0,0,
Thank You seller good prodict and nice quality have a nice day legit siya mabango and great packaging also,5,,,MODERATE,MODERATE,OS,,,0,0,
??Price:fair enough   ??Scent:mabango nmn kaso prang ngiba ung far away n Amoy  kala ko ktulad ng sa AVON  ?Longevity:long lasting,5,,,HIGH,HIGH,TS,,,0,0,
Very good performance thank you for the good product  I will again soon. I am satisfied with the quality you gave to us. God blessed you,5,,,HIGH,HIGH,OS,,,0,0,
sobrang bango parehas. walang itulak kabigin sa dalawa. maraming salamat seller. sa uulitin ??,5,,,MODERATE,MODERATE,OS,,,0,0,
Mabango pareho kaso hindi ko gusto nung isa  mabango sya kaso may amoy sya na masakit sa ilong,5,,,MODERATE,HIGH,TS,,,0,0,
??Price:good   ??Scent:ahm not good   ?Longevity:mabilis lng mawala  salamat Lazada at salamat din po seller salamat din po delivery rider  hnd xa nagtatagal ung bango di tulad ng iba.isang Oras lng wla n di n maamoy ang bango,5,,,HIGH,HIGH,TS,,,0,0,
yes  its indeed original inspired scents  sa 250ml na volume nila magagamit mo tlga cla ng mas matagal at sulit na sulit din sa presyo  mabilis din dumating  nice seller ?????? i will definitely order it again pag naubos.?????,5,,,HIGH,HIGH,OS,,,0,0,
mabango at long lasting po d tulad ng nabili ko sa ibang shop salamat seller at Kay kuya raider....,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:very smiley. very good scent. fragrance   ?Longevity:high range if time   ??Price:affordable   can afford to buy so many orders,5,,,MODERATE,MODERATE,OS,,,0,0,
completo Naman po ung order ko maayos Ang pagkapac Tama Naman sa   ??Price:Tama lang at oky   ??Scent:oky Naman kaso mas maganda ang Avon paren di na tatanggal ang Amoy na mabango,5,,,MODERATE,MODERATE,TS,,,0,0,
oky Naman completo Naman ung order ko   ??Price:oky   ??Scent:Hindi Naman mabango mas maganda paren sa Avon matagal matanggal ang bango niya,5,,,MODERATE,MODERATE,TS,,,0,0,
??Price:oky lang at Tama   ??Scent:oky  Naman ang Amoy kaso mas maganda parin sa Avon matagal KC matanggal ang Amy niya iba ang Amoy  na far away po na order ko poisson ang laman niya   di katulad ng far away na sa Avon,5,,,HIGH,HIGH,TS,,,0,0,
thank you '....................................'. '' '' '' '.' '...........'. '' ''..,5,,,LOW,LOW,OS,,,0,0,
mabango sya at mura lng maganda pag package nya salamat sa seller at ky kuya Rider,5,,,MODERATE,HIGH,OS,,,0,0,
jajajajajajajajajaj  ??Price:amamakakakakakk  ??Scent:kKKakakajajka  ?Longevity:jajajaja   ajajajkajajajakakakajaja,5,,,LOW,LOW,OS,,,0,2,
Good and nice product.. i like it  very elegant smell?   Excellent?,5,,,MODERATE,HIGH,OS,,,0,0,
why it's only 1 it said buy1 take1,5,,,LOW,LOW,OS,,,0,0,
mabango ??,5,,,LOW,MODERATE,OS,,,0,0,
Thanks seller,5,,,LOW,LOW,OS,,,0,0,
sulit for the price po sya  matapang na mabango po,5,,,MODERATE,HIGH,OS,,,0,0,
bngo po sya.. okay,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:  very nice reu,5,,,MODERATE,HIGH,OS,,,0,0,
Thanks seller,5,,,LOW,LOW,OS,,,0,0,
Spf 60+ will buy again,5,,,MODERATE,HIGH,OS,,,0,0,
will buy again for sure. cheap but quality. long last fragrance and love the scent . thank u seller,5,,,HIGH,HIGH,OS,,,0,0,
??Price:Medyo mura  ??Scent:Madali mawala amoy! What can we do!  ?Longevity:Madali nga mawala smoy eh.  Tapos sira kaagad sprayer nito at hindi ko magamit. Hindi na ako bibili ulir nito.,5,,,HIGH,HIGH,TS,,,0,0,
Welcome to Gboard clipboard  any text you copy will be saved here.Tap on a clip to paste it in the text box.Use the edit icon to pin  add or delete clips.Touch and hold a clip to pin it. Unpinned clips will be deleted after 1 hour.,5,,,LOW,LOW,OS,,,0,2,
Wow Ang Bango ??  sabra  Nakagawa shala  ang dating totoong among ng Far away po tlaga thakz seller  ??Scent:Anag bango,5,,,HIGH,HIGH,OS,,,0,0,
mabango siya yung packaging is maganda tapos sinure ni seler na naka bubble wrap ng maayos,5,,,HIGH,HIGH,OS,,,0,0,
it to the ?? for us all day today at school tomorrow at ?? tomorrow at ?? tomorrow at ?? tomorrow at ?? tomorrow and I don't know what I want to be a part of your family and friends and I have no clue how much is the only thing that I was like what the heck are they going on in my life is good to hear from me to do with the girls and boys and I have no clue how much is the only thing that I was like what the heck are they going on in my life is good to me and my mom is going to be a good day at school today and I don't know how much I love you so very much for the day I was just wondering if I can do it for you to be there in about an hour or so and I don't know what twtwywyw,5,,,LOW,LOW,OS,,,0,2,
Recieved ko na thanks ??????????????????????????????????????????????????????????????,5,,,LOW,HIGH,OS,,,0,0,
??Scent:subrang bago ganda  ??Price:sulit ang kah sa prisyo  ?Longevity:tumatagal,5,,,MODERATE,HIGH,OS,,,0,0,
Thank you so much Seller at sa mabait na Rider Rodgelyn ?? I will order again ??,5,,,MODERATE,MODERATE,OS,,,0,0,
Ang bango nya nagustuhan Ng anak ko. order Ako ulit . saka Ang mura pa salamat sa seller at rider. at nakadating Ng maayos Ang parcel ko.,5,,,HIGH,HIGH,OS,,,0,0,
grabi Ang banggo compared dun sa bote mas. ok to di gaano masakit sa ilong Yung amoy. thanks seller and Kay kuya rider.,5,,,HIGH,HIGH,OS,,,0,0,
??Price:affordable to buy so many items   ??Scent:more fragrance   ?Longevity:long lasting   high range of time until re order. more fragrance  over looked  sensitivity  the aroma is high. thank you seller for the discounted items which I really afford. I am too overwhelmed. Also thank the courier and the company as well. Highly recommend.,5,,,HIGH,HIGH,OS,,,0,0,
Super bango po nya at good condition po ang pag Kakabalot at mura thanks seller at s rider.,4,,,MODERATE,HIGH,OS,,,0,0,
OK naman Kaya Lang mandaya ang seller buy 1 take 1 pero pag omorder ka hindi naman buy 1 take 1 ang idedeliver liver per piraso din hindi honest sa post ang seller huwag kayong ganyan hindi dadami customer niyo ang mga kinukuha ko PA naman paninda Yan hindi pang gamit Lang Kung OK Sana Yan halos weekly ako order Yung Victoria secret sa loob ng isang buwan halos 200 pcs naipapadeliver ko kasi honest sila,5,,,HIGH,HIGH,TS,,,0,0,
Matapang ang Amoy at d rin nagttgal after pagka spray s ktwan sayang lng ang pera k,5,,,MODERATE,MODERATE,OS,,,0,0,
mura lng at mabango sya maganda pag package nya salamat sa seller at ky kuya rider,5,,,MODERATE,MODERATE,OS,,,0,0,
maganda at mabango sya thankyouu sa pag dating kahit na masungit ung driver,5,,,MODERATE,MODERATE,OS,,,0,0,
??Price:affordable  ??Scent:verygood  ?Longevity:verygood,5,,,MODERATE,HIGH,OS,,,0,0,
mabango at mura lng maayos pag package salamat seller at ky kuya rider,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:sulit   ??Scent:smell good   ?Longevity:long lasting,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:sulit   ??Scent:smell good   ?Longevity:long lasting,5,,,MODERATE,HIGH,OS,,,0,0,
??Price:sulit   ??Scent:good smell   ?Longevity:long lasting,5,,,MODERATE,HIGH,OS,,,0,0,
sobrang ngustuhn Ng mga ank q poh Kya mrmng slamt poh Lalo npo s rider,5,,,MODERATE,MODERATE,OS,,,0,0,
Fast shipping  well packed no damage...  All items are in good condition and super good nice quality..  Thanks seller for sending pics before shipping... ????,5,,,HIGH,HIGH,OS,,,0,0,
??Scent:mabango ang products,5,,,MODERATE,HIGH,OS,,,0,0,
??Scent:di ganun Ang akala ko pero ok na din.,5,,,MODERATE,LOW,OS,,,0,0,
nice nice nice nice nice nice nice nice nice nice nice thank you seller and kuya rider ?? keep safe and GOD BLESS PO ??,5,,,LOW,MODERATE,OS,,,0,0,
mabango at t mura lng salamat sa seller at ky kuya rider,5,,,MODERATE,MODERATE,OS,,,0,0,
??Scent:good  ??Price:affordable  ?Longevity:8/10,5,,,MODERATE,HIGH,OS,,,0,0,
mabango sya kaso di ko gusto Ang Amoy masakit sa ulo,5,,,MODERATE,MODERATE,OS,,,0,0,
