Review,Star Rating,Length,Valence,Review Quantity,Internal Consistency,Review Quality,Credibility
Hindi maganda yung dumating hindi siya tumugma sa description nila tapos hindi tugma sa size ko at hindi tugma jan sa dinisplay nilang picture,5,24,,1030,,,
Di ito ang inorder ko  but so far worth it sya for sa price niya..sakto sakin ang size niya.,5,20,,1030,,,
binayaran nang aus ipapadala basura/ basahan tsk ikaw seller ausin mo pagbebenta mo imbes na may magandang feedback customer mo dismaya lng inaasahan maganda ung dadating Tas ganto LNG ilampaso ko to sa mukha mo nangigigil ako sau .....pesteng yawa ka.......,5,41,,1030,,,
Size:sakto naman ang size kaya lang hindi naman yung mismong order ko dumating napaka pangit ng pinadala   Style:sobrang panget,5,21,,1030,,,
Hindi ako Masaya sa ntanggap Kong jeans Hindi nman po ito yong binili k bkit ito ang dumating ayosin nman nyo sayang lang ang binabayad nmin sainyo,5,27,,1030,,,
d tama ang tumating dalawa ang inorder ko isa lang ang dumating d pa tama,5,15,,1030,,,
Full length for versatile styling  Durable denim material  Push up denim for a lifted look  Trendy tattered design ,5,18,,1030,,,
Hindi Po Ako satisfied sa ipinadala nyo para syang sa ukay lng galing di Po sya katulad Ng unang nabili ko,5,21,,1030,,,
Style:Plus size options available    Comfort:Trendy tattered design ,5,9,,1030,,,
Hindi naman ito young order ko  pangit na nga luma at subrang laki pa,5,14,,1030,,,
Size:✅  Comfort:✅  Style:Hindi sya Gaya sa pic pero ok Naman sakin maganda parin tignan sakin and fit Naman sya sa pwet KO Kasi medyo malaki Naman pwet KO  ok na  akala KO kase Gaya sa pic dun Lang ako na desmaya huhu,5,43,,1030,,,
return ko po kc Hindi man ito Ang order ko tap os may mg tahe pa..ano bayan..,5,18,,1030,,,
scam iba ang dumating na order ko puro nutas²,5,9,,1030,,,
nako po kung gusto nyo rin lng din manloko ng tao wag na kayo magbenta 😡😡😡😡para po sa lahat hnd po maganda ang binta nila ang layo layo po sa pic 😡ayan po ang dumating m,5,36,,1030,,,
ang pangit nman ang dumating🙄😝😝😝... ang ganda sa picture pagdating ukay2   bweset  kayu seller makarma sana kayo... guys wag na kayu mag order   ganda sa pic pagdating iba.,5,28,,1030,,,
Various waist sizes to choose from  Full length for versatile styling  Comfortable and stylish  Durable denim material  night and I have dyan sa checklist for the first time,5,28,,1030,,,
thank u seller mabilis dumating  pwedi sya asawa ko pangbyahe nya pagngmomotor,5,12,,1030,,,
ok lng daw ni bisag deli mao ang color og item ok nlng daw Sabi ng Kapatid ko,5,18,,1030,,,
bakit naman po ganun ang binigay na item pang ukay ukay  kung alam ko lang na ganto Ang itim na binibigay ninyo sana Hindi na lang nag order sa inyo . ang ganda sa picture tapos sa actual Ang pangit na. sa susunod naman pakiayos ng bigay dapat kung Anong inorder Yun Ang ibigay. nakakadala na tuloy mag order Dyan sa inyo,5,61,,1030,,,
Perfect for mom jeans look  High waist for a slimming effect  Comfortable and stylish  Flattering skinny fit  Trendy tattered design  Trendy tattered design  Push up denim for a lifted look  Various waist sizes to choose from ,5,36,,1030,,,
na scam Ako manluluko pala ang seller na to 😟😟😟😟😭,5,9,,1030,,,
not good  Ang ge order dle mao Ang ni Abot scamer,5,11,,1030,,,
scammer,5,1,,1030,,,
bakit ganito ang order ko ang dumi dumi naman ho🥺,5,10,,1030,,,
High waist for a slimming effect  High waist for a slimming effect  High waist for a slimming effect  High waist for a slimming effect  High waist for a slimming effect  High waist for a slimming effect  High waist for a slimming effect ,5,42,,1030,,,
paano ko layo e rate pinafalhan niyo ako2 ang order ko isa ang pinadala niyo tspus yong sizes 31 instead 28  ang pimadala nyo daya yan,5,26,,1030,,,
hndi kau patas lng lumabas magagamit KO bayan ang pinadala nyu punit punit,5,13,,1030,,,
Size：,5,1,,1030,,,
Material:not good  Size:not good  Design:sobrang pangit po🥺 d po ito yung inorder ko  ang ganda ganda sa picture tapos yung dumating ganyan😌 sana nmn wag kayu manloko nag babayad nmn kami ng maayus😌🤦‍♀,5,36,,1030,,,
how to return the item ?ang aking order ay d tama sa  pic na inorder namin ...,5,16,,1030,,,
pangit sobra,5,2,,1030,,,
sobrang laki po para saakin bakit iba Ang hitsora sa picture kesa sa reality..Ang Daya nyo Naman.😩😩😩😩😩😩,5,18,,1030,,,
verybad ang order ko ay big skinny jeans ang dumating ay ukay ukay  nakakawalang ganang mag order ulit,5,18,,1030,,,
Salamat po..dumating yong item ko at sobrang nakabalot pa...safe na sage yong parcel ko kaya dito na ako mag order muli .thank you,5,25,,1030,,,
bakit ganun kayo nagbabayad aq ng maayos sa inyo tas pina deliver nio sakin iba scammer kayo wag na kayo magpost ng paninda nio para lng manglamang o mng scam na maka pera kayo bwesit kayo post kayo ng items nio na maganda tas padala nio sa buyer nio iba.anhin q ang pinadeliver nio na pantalon na punit2 may mantsa at luma pà nagbabayad aq ng tama bakit ganyan kayo.mfa guys wag kayo mag order dito sa store na ito peke dinideliver nila.nakakadismaya akala q magagamit q sa graduation ng anak q yon pala palpak pa🤬🤬👺huwag kayo umorder dito fake mga items nila tulad ng seller peke nagbabayad yong tao ng tama magpapadeliver ng mali o sadya yon pinadeliver isang pantalon ja kupas na ukay2 may mansa at sa baywang niya sira may punit at dami ng mansa at luma.mas maganda pa nabili qng ukay ukay na pantalon kaysa sa deniliver nio.kaya kayo guys huwag kayo umorder dito kc subok qna masasayang lng pera nio buti sana qng ibabalik ang pera pero hindi eh dami pa proseso qng magbalik ka ng items nila.careful kayo sa pag oorder dalawang beses nq na scam dito din sa lazada aq umorder pero ibang store nman.chat m9 yong seller di nila papansinin reklamo mo seen nalang    Material:pangit  Size:hindi tama  Design:hindi tulad sa naka post na item,1,233,,1030,,,
na scam nye ako dalawang items ang binayaran ko bat isa lang ang dumating mali pa hnd yung nasa picture Large ang order ko pangbata ang pinadala nye karmahin sana kayu ang layu sa picture ang pinadala nye sa akin at mokhang basura pato,5,44,,1030,,,
mali po ung dumating na order ko. bakit ganun ukay ukay naman hnd masuot. ang laki  sobrang haba.,5,18,,1030,,,
skinny jeans po nkalagay bat straight cut po pinadala .nkakasad nman po . skinny tattered dpat. kaso ndi tma ung pinadala nyo.,5,21,,1030,,,
Hindi maganda Hindi man yong order iba Ang dumating Ang pangit nia talaga..lumang  luma na talaga Ang dumating sa akin,5,21,,1030,,,
ang pangit ng dumating hindi kamukha nung inorder  sinasayang nyo pera ng mga maayos n nagoorder  scammer!!!!,5,17,,1030,,,
nabudol ako Ng seller na to wag na kayo mag order Kasi pangit Yong dumating na item SA akin sna mag banned na ang seller na to manduugas..😠😠😠,5,28,,1030,,,
at tsaka dalawa pa pinadiliver nyo mga bwesit kayo mga walang modo mga scammer 😡😡😡😡😡😡,5,14,,1030,,,
itong seller na ito manloloko huwag kaung order d2 maganda ang NSA picture  page dumating na sa Inyo mga ukay mga  mukhang bashan,5,23,,1030,,,
panget ukay2 pinadeliver. IBA picture iba deliver. ano to basahan.,5,10,,1030,,,
hay naku nakdismaya maganda sa picture ukay2x lang pla..,5,9,,1030,,,
so sad bakit galing ukay2 ang pinadala nyo  Hindi match SA picture Hindi mn kayo naawa SA buyer ngbayad kmi Ng Tama tapos gamiton LNG pala ang cheap Hindi gamiton ang inaasahan KO  SA lagi Kong umorder SA Lazada ngayon LNG ako nakatanggap Ng gamiton na Hindi tugma SA inorder KO 😡😡😡😡,5,51,,1030,,,
Full length for versatile styling  Durable denim material  Flattering skinny fit  Trendy tattered design  Push up denim for a lifted look  iba ung dumating kesa sa nasa picture pero OK n rin nman.. Kasya din nman at low price lng din,5,41,,1030,,,
haha mali ata yung order ko bat si picture ang ganda  yung dumating sakin binabasahan lang namin sa cr yan eh haha more scam pa🤣🤣,5,25,,1030,,,
 maganda nasana 😭😭😭bakit ganito dumating sa akin😭😭😭💔,5,7,,1030,,,
prang basahan ang dumating sa akin may butas pa ok lang kung okay2x kaso malala d maisout,5,17,,1030,,,
Ang pangit ng nkuha q..d ktuad ng nsa picture..parag ukay ..nanlooko lnh kyo ng mga tao..magpakatotoo kyo. uy,5,21,,1030,,,
andaya nyo kung makapah post kayi ang ganda akla mo bago  yon pla ukay akla mo basahan tagpi tagpi ambqho ng pantalon,5,22,,1030,,,
kala ko talaga scam pero liget to free wlang bayad yong pants at ang ganda thank u so much,5,19,,1030,,,
pangit de naman same sa picture sira pa denaman ako nag order Ng butas a sera pants niyo,5,18,,1030,,,
mga Manloloko  scamer    Jean's pa la na ukay ukay 2 items order ko isa lang dumating ukay pa,5,19,,1030,,,
not satisfied. scam only.. This is what they are saying online vs reality 😂.. Color palang ligwak na.. wag na kayong bumili,5,21,,1030,,,
dumating na yong order ko pasencia kana seller pero yong order nga skinny jeans iba yong dunatin para syang basahan Iba yong  sa picture  ng pantalon yong dumating Ang pangit pangit mahiya nman kayu masisira yong company nyo yan pag ganyan   sayang lng po yong Pera ko   salamat nalang at sorry kung na bash ko Kyu,5,56,,1030,,,
manloloko po kau ..ukay ukay na jumoer ang diniliber sken..GOD BLESS u sa ginawa nio sken,5,17,,1030,,,
Durable denim material  Comfortable and stylish  Flattering skinny fit  Various waist sizes to choose from ,5,15,,1030,,,
very disappointing... kung hindi man lang sana mabigay yung same item sa picture. sana man lang binigay nyo yung tamang size para nasusuot sana kahit papano,5,26,,1030,,,
High waist for a slimming effect ,5,6,,1030,,,
ano bayan Mali nmn Ang dumating saakin ayaw kuna mag order ulit Ang panget namn,5,15,,1030,,,
tang Ina ukay pala ....ok lang sana kung ukay kung magagamit ehh halos hnd magamit ...,5,15,,1030,,,
grabe Ang Ganda sa picture pagdilever Ang pangit kcing pangit ku  ano Po bayan dapat kung ano Ang inoerder iyun dapat idilever nio po,5,24,,1030,,,
bakit Ganon bakit eto ang dumating ang pangit nmn ukay²,5,10,,1030,,,
Size:wrong i order 28 but i received 27  Comfort:fit  Style:skinny,5,13,,1030,,,
ok lng.im not satisfied with my order iba kessa nasa pictures.,5,12,,1030,,,
hindi ito ung inorder q na nasa post . iba pinadala ninio.,5,11,,1030,,,
mali ung Binigay niong order ko hindi ganyan size 32 pero pang bata Binigay nio,5,15,,1030,,,
ang pangit ng item nyo,5,5,,1030,,,
scam iBang pantaloon binigay,5,4,,1030,,,
basahan ang dumating kasinungaling ng post ninyo akala ko totoo 😢,5,10,,1030,,,
hindi po ito yong order ko. and subrang laki niya po.,5,11,,1030,,,
scam ndi nasa pic yung order ko mukhang basahan  huwag na kayo bumili dito sayang lang yung pera niyo scam ang seller na to,5,24,,1030,,,
