Review,Star Rating,Valence,Internal Consistency,Argument Quality,Objectivity,Sidedness,RIQ Score,RIQ Label,Template Flag,Spam Flag,CREDIBILITY
super layo sa post nyo ang item na pinadala nyo sakin..sana wag naman kayo manloko ng mga tao..post nyo yung totoong item na binbinta nyo..anyway thankyou kc free to dahil first order ko..HUWAG MANLOKO NG KAPWA PRA MGKA BENTA??,5,,,,,,,,,,
"Appearance: good Quality: good quality Suitability: nice Ang ganda ng item, sulit yung pera mo dito,, di ka madids appoint , kaya salamat sa. Seller and sa rider.",5,,,,,,,,,,
I never expect this good items i receive. thank you to this shop. i recomend this shop . its all good and it ship as early as i never expect.. i receive the parcel in good condition. . Sulit po . pero mabigat lang talaga siya..at sobrang ganda ..,5,,,,,,,,,,
Appearance: Impressive Quality: Impressive Suitability: Perfect for every day use Ang ganda ng quality. Salamat seller! Till next order! ??,5,,,,,,,,,,
Performance: excellent Quality: ?? Suitability: ?? nice product. d ako nagkamali ng bili. hehe thanks sa seller ??,5,,,,,,,,,,
super layo sa post nyo ang item na pinadala nyo sakin..sana wag naman kayo manloko ng mga tao..post nyo yung totoong item na binbinta nyo..anyway thankyou kc free to dahil first order ko..HUWAG MANLOKO NG KAPWA PRA MGKA BENTA??,5,,,,,,,,,,
"Appearance: good Quality: good quality Suitability: nice Ang ganda ng item, sulit yung pera mo dito,, di ka madids appoint , kaya salamat sa. Seller and sa rider.",5,,,,,,,,,,
I never expect this good items i receive. thank you to this shop. i recomend this shop . its all good and it ship as early as i never expect.. i receive the parcel in good condition. . Sulit po . pero mabigat lang talaga siya..at sobrang ganda ..,5,,,,,,,,,,
Appearance: Impressive Quality: Impressive Suitability: Perfect for every day use Ang ganda ng quality. Salamat seller! Till next order! ??,5,,,,,,,,,,
Performance: excellent Quality: ?? Suitability: ?? nice product. d ako nagkamali ng bili. hehe thanks sa seller ??,5,,,,,,,,,,
Price:thank you worth the price Durability:matibay Versatility:madaling dalhin kahit san,5,,,,,,,,,,
okay nmn magagamit din tas may ilaw pa ... thanks seller ??,5,,,,,,,,,,
Price:ok lng nmn kaso di nmn nailaw,5,,,,,,,,,,
Akala ko box bakit ganito mga screw,5,,,,,,,,,,
fake Hindi ganyan dumating,5,,,LOW,LOW,OS,,,0,0,
"did you deliver my parcel, ok but it's not what I order.",5,,,,,,,,,,
Durability:,5,,,LOW,LOW,OS,,,0,0,
Price:good Durability:nice Versatility:nice,5,,,,,,,,,,
may magagamit natin ??????????,5,,,,,,,,,,
thank you ??,5,,,LOW,LOW,OS,,,0,0,
scam haha,5,,,LOW,LOW,OS,,,0,0,
Durability:100 Price:100 Versatility:100 nice one ang ganda ng pinadala mo seller salamat highlyrecommended,5,,,,,,,,,,
Maganda gamitin at matibay salamat sa magandang quality ng mga tools niyo ipag patuloy niyo lang yan,5,,,,,,,,,,
Disappointed hindi ito ang inaasahan ko first order ko.. nakakawalang gana.. ?? ?? ?? ?? ??,5,,,,,,,,,,
yan yun tol kala ko marami yan ong yun dumating wala nmn sa pixture yan marami na kc ako nyan,5,,,,,,,,,,
Gustong gusto ng asawako salamat may nagagamit na siya sa work niya sira na kase ibang tools niya,5,,,,,,,,,,
salamat seller mukang matibay at magaganda ang iyong tools bbili ako ulit next time,5,,,,,,,,,,
"Satisfied customer, maganda po yong product nyo.. kompleto po lhat,walang kulang. Salamat seller at Kay kuyang nagdeliver. Order na po kayo sa shop na to..",5,,,,,,,,,,
Nice product! Complete and fast delivery. Maayos po ang product at mukang matibay complete yung set sa loob i will order again soon in this shop. Thankyou,5,,,,,,,,,,
Versatility:suitable Durability:good Price:affordable lupet lods ganda,5,,,,,,,,,,
gud pm...y ho ibang parcell dumating s akin...pero salamat n run po...malaking tulong din ho tong tools n to s akin,5,,,,,,,,,,
nalate review na ako salamat po ng marami seller matibay at completo,5,,,,,,,,,,
thank you po seller at Lazada and delivery god bless po,5,,,,,,,,,,
anu to dumating iba oder nmin iba nmn dumating,5,,,,,,,,,,
scam!!!ito Yung dumating,5,,,LOW,LOW,OS,,,0,0,
fake scam iba pinadala skn,5,,,,,,,,,,
di naman yan ang dumating eh,5,,,,,,,,,,
Di na masama,4,,,LOW,LOW,OS,,,0,0,
all goods,5,,,LOW,LOW,OS,,,0,0,
not item to order,5,,,,,,,,,,
okey,5,,,LOW,LOW,OS,,,0,0,
random nga ??,3,,,LOW,LOW,OS,,,0,0,
i' m disappointed with the items that i ordered you sent me the wrong items because of that i will stop buying from LAZADA online.,1,,,,,,,,,,
"scam and budol yan yong ginawa nyo Sakin iBang iba yong item na nakapost sa pinadala,,,dapat palitan nyo yong picture ng totoong item nyo.. nakakadala tuloy umorder Kay Lazada Kasi iba naman pala yong diniliver.",1,,,,,,,,,,
"we don't order that kind of item,we are so disappointed for what you ve gave to us.....",5,,,,,,,,,,
scam iba ang dumating wag na kau umorder nkaka disappoint,5,,,,,,,,,,
Budol. iba ang nasa picture iba ang dumating.????,1,,,,,,,,,,
kupal talaga diko alam kung sinadya talaga o talagang kupal ang saler biruin mu tools ang order ko pang makeup ang dumating walang kwenta talaga tong page na to nakaka yamot,1,,,,,,,,,,
Mali Ang pinadala nyo aba manloloko ba kayo,1,,,,,,,,,,
very good quality and very easy to use i love it,5,,,,,,,,,,
not the actual parcel I ordered.scam,5,,,,,,,,,,
kaya ayaw kuna sa Lazada dami ang scam',5,,,,,,,,,,
bkit nakalagay dun my case my bahay sya sa sunod ayaw qna mag order,5,,,,,,,,,,
Price:very good Durability:very good Versatility:very good,5,,,,,,,,,,
Scam iba ang binigay,5,,,LOW,LOW,OS,,,0,0,
Scam sa picture hahah,5,,,LOW,LOW,OS,,,0,0,
Iba ang binigay very bad,1,,,,,,,,,,
bogus seller po ito,5,,,,,,,,,,
You delivered wrong items.,1,,,,,,,,,,
very poor,5,,,LOW,LOW,OS,,,0,0,
very good,5,,,LOW,LOW,OS,,,0,0,
scam,5,,,LOW,LOW,OS,,,0,0,
ok,5,,,LOW,LOW,OS,,,0,0,
scam,5,,,LOW,LOW,OS,,,0,0,
scam,1,,,LOW,LOW,OS,,,0,0,
Dili tools ning abot??,5,,,,,,,,,,
bad super bad,5,,,,,,,,,,
ok,5,,,LOW,LOW,OS,,,0,0,
ok,5,,,LOW,LOW,OS,,,0,0,
lab it much,5,,,,,,,,,,
bad iba ung pinapadala nyo,5,,,,,,,,,,
iba ung dumating,3,,,,,,,,,,
Wrong item. Ayusin mo seller ang item na pinapadala mo.,1,,,,,,,,,,
pekeng item. hindi sya gaya ng nasa picture pweeee .,1,,,,,,,,,,
iba Ang ipinadala Wala sa picture,1,,,,,,,,,,
I'm,2,,,LOW,LOW,OS,,,0,0,
Wala namang dumating,1,,,,,,,,,,
no godd...scam,1,,,LOW,LOW,OS,,,0,0,
SCAMMMMMMMM.....,1,,,LOW,LOW,OS,,,0,0,
