Star Rating,Date,Review
5/5,21 Jan 2025,"sakura pink ang order ko eto yung dumating....nakakatakot ang pa iba² ng gamit,safe kya to?"
4/5,1 week ago,super lambot sa balat and mabango d ren sya malagkit sa katawan
5/5,3 weeks ago,ang bilis dumating thank you po.bango nya
5/5,1 week ago,"extremely mild and grately pleasing to the senses, effective whitening lotion, thank you seller, fast delivery services thank you delivery rider maraming salamat LAZADA parcel delivered and received thank you COMPLETED"
5/5,04 Jan 2025,"💧Moisturizing Effect:soft
 🧴Ingredients:natural

 🌸Scent:ok
thank you selker lazada and kind rider keep up the good work"
5/5,3 weeks ago,💧Moisturizing Effect:maganda sya sa balay
5/5,23 Jan 2025,happy with my purchase. arrived on time.
4/5,4 weeks ago,why open lottion
5/5,3 weeks ago,good
5/5,2 weeks ago,💧Moisturizing Effect：not the original one.. it's like they used the bottle to get refiled with cheaper brand
5/5,27 minutes ago,safe dumating parcel q naka double wrap pa at complete ung items TYSM seller and Rider
5/5,01 Feb 2025,walang kwenta service NYO!! . Mali ang item na deliver kumpara SA order KO/Hindi nko bibili SA inyo ulit....
5/5,2 weeks ago,my order is in pink bottles.but blue violet bottles was delivered to me.
5/5,2 weeks ago,I am not sure of the quality. niacinamide cream ang delivered to me
5/5,2 weeks ago,thank you po sakto lng po. ang Bago nya.🥰
5/5,1 week ago,Thank you so much  po Naka Sali po ako sa free
5/5,6 days ago,thank u for the free gift ..😊
5/5,29 Jan 2025,💧Moisturizing Effect：
1/5,4 weeks ago,HINDI SIYA LOTION!!!NAKUHA KO PABANGO TAPOS ANG BAHO PA NG AMOY MGA MANLOLOKO KAYO WAG KAYO MAGOORDER DITO IBA ANG IBIBIGAY NILA DIYOS NA ANG BAHALA SA INYO MGA MANLOLOKO!!!!
